300000
producto;valor costo;valor venta;venta mensual;stock actual;proveedor
1;1500;2000;15;0;0
2;200;600;15;0;3
3;1000;1700;15;0;2
4;2000;3500;15;0;0
5;100;500;15;0;2
6;3000;4000;15;0;3
7;4000;10000;15;0;1
8;150;600;15;0;0
9;300;800;15;0;3
10;700;1000;15;0;2
11;2000;3000;15;0;2
12;3500;6000;15;0;1
13;150;600;15;0;0
14;400;850;15;0;3
15;1000;1700;15;0;0
16;400;1000;15;0;1
17;1400;2050;15;0;3
18;400;1200;15;0;0
19;650;1200;15;0;1
20;2000;3000;15;0;3
21;3500;6000;15;0;2
22;40;450;15;0;2
23;230;650;15;0;1
24;1000;2000;15;0;3
25;1000;2600;15;0;1
26;200;500;15;0;0
27;10;50;15;0;3
28;300;400;15;0;2
29;400;1000;15;0;1
30;150;600;15;0;0
31;1400;2050;15;0;3
32;400;1200;15;0;0
33;300;4000;15;0;1
34;2000;3000;15;0;3
35;3500;6000;15;0;2
36;40;450;15;0;2
37;230;650;15;0;1
38;1000;2000;15;0;3
39;350;600;15;0;1
40;2000;5000;15;0;0
41;10;90;15;0;3
42;10;900;15;0;3
43;400;5000;15;0;1
44;150;600;15;0;0
45;300;800;15;0;3
